# AFTER: 1d66caf8 (perf improvements applied)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkProxyProtoHeader/tls-full-4     	 2344420	       516.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2296450	       523.0 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2301994	       522.2 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2297335	       544.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2295333	       525.9 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2283685	       525.1 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2253039	       541.9 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2282384	       528.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2302771	       519.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2288685	       522.6 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2299845	       522.1 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2284698	       526.1 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2289714	       524.2 ns/op	    2136 B/op	      19 allocs/op
BenchmarkConnectionChurn                 	    1108	   1089808 ns/op	  143116 B/op	    1121 allocs/op
BenchmarkConnectionChurn                 	    1137	   1067829 ns/op	  143049 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1120	    995321 ns/op	  143048 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1264	   1051808 ns/op	  143118 B/op	    1121 allocs/op
BenchmarkConnectionChurn                 	    1041	   1019303 ns/op	  143052 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1159	   1075613 ns/op	  143313 B/op	    1123 allocs/op
BenchmarkConnectionChurn                 	    1138	   1005514 ns/op	  143046 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1210	    835872 ns/op	  143042 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1566	    773303 ns/op	  143134 B/op	    1121 allocs/op
BenchmarkConnectionChurn                 	    1660	    746497 ns/op	  143024 B/op	    1120 allocs/op
BenchmarkConnectionChurn-4               	    5362	    227359 ns/op	  145676 B/op	    1121 allocs/op
BenchmarkConnectionChurn-4               	    5253	    229584 ns/op	  145714 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    5268	    233179 ns/op	  145901 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    5155	    257025 ns/op	  145539 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    5200	    230280 ns/op	  145605 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    5379	    230441 ns/op	  145615 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    5283	    238129 ns/op	  145826 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    5150	    271867 ns/op	  145676 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    5341	    233762 ns/op	  145738 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    5205	    230522 ns/op	  145534 B/op	    1122 allocs/op
BenchmarkConnectionChurn-8               	    4908	    271238 ns/op	  159607 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4545	    339662 ns/op	  160264 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4681	    281618 ns/op	  160162 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4665	    274500 ns/op	  159795 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4179	    390714 ns/op	  159723 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4000	    364313 ns/op	  160675 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    3325	    341652 ns/op	  160806 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4420	    306352 ns/op	  160309 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4020	    379020 ns/op	  159475 B/op	    1124 allocs/op
