# After Finding 12 (skip metric collection when no sink configured)
go version go1.26.4 darwin/arm64

goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkConnectionChurn-4               	    4120	    262466 ns/op	  145714 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    4945	    263983 ns/op	  145686 B/op	    1121 allocs/op
BenchmarkConnectionChurn-4               	    5008	    247683 ns/op	  145638 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    4934	    279686 ns/op	  145527 B/op	    1121 allocs/op
BenchmarkConnectionChurn-4               	    4776	    255076 ns/op	  145783 B/op	    1121 allocs/op
BenchmarkConnectionChurn-4               	    4861	    248886 ns/op	  145759 B/op	    1121 allocs/op
BenchmarkConnectionChurn-4               	    5078	    246166 ns/op	  145758 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    4412	    286376 ns/op	  145790 B/op	    1122 allocs/op
BenchmarkConnectionChurn-4               	    4939	    261972 ns/op	  145668 B/op	    1121 allocs/op
BenchmarkConnectionChurn-4               	    4870	    257158 ns/op	  145620 B/op	    1121 allocs/op
BenchmarkConnectionChurn-8               	    4774	    326493 ns/op	  159831 B/op	    1124 allocs/op
BenchmarkConnectionChurn-8               	    4480	    297229 ns/op	  160807 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4285	    303640 ns/op	  160409 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4317	    289425 ns/op	  160396 B/op	    1124 allocs/op
BenchmarkConnectionChurn-8               	    4012	    384587 ns/op	  160502 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    3846	    323416 ns/op	  160534 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    3511	    299128 ns/op	  159931 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    3460	    298618 ns/op	  160043 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    3960	    370468 ns/op	  160470 B/op	    1125 allocs/op
BenchmarkConnectionChurn-8               	    4447	    310340 ns/op	  159759 B/op	    1124 allocs/op
PASS
